Year	DOY	Hour	Min	 Dectime	  HDD1_h	  HDD2_c	HDD3_Tmean	HDD4_T5d	   P_day	  DaysSR	GDD_EveTr	GDD_DecTr	GDD_Grass	SDD_EveTr	SDD_DecTr	SDD_Grass	    Tmin	    Tmax	   DLHrs	LAI_EveTr	LAI_DecTr	LAI_Grass	DecidCap	Porosity	AlbEveTr	AlbDecTr	AlbGrass	WU_EveTr1	WU_EveTr2	WU_EveTr3	WU_DecTr1	WU_DecTr2	WU_DecTr3	WU_Grass1	WU_Grass2	WU_Grass3	LAIlumps	 AlbSnow	DensSnow_Paved	DensSnow_Bldgs	DensSnow_EveTr	DensSnow_DecTr	DensSnow_Grass	DensSnow_BSoil	DensSnow_Water	      a1	      a2	      a3
2010	 32	  23	 55	 31.9965	  7.9119	  0.0000	   -0.8875	 -1.5230	  0.0000	  4.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -3.9000	  2.2000	 10.6667	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 33	  23	 55	 32.9965	  8.0318	  0.0000	   -1.0074	 -1.4198	  0.0000	  5.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -3.3000	  0.0010	  9.2500	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 34	  23	 55	 33.9965	  6.6772	  0.0000	    0.3472	 -1.0664	  0.7500	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.2000	  3.3000	 10.1667	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 35	  23	 55	 34.9965	  6.2205	  0.0000	    0.8039	 -0.6924	  0.0000	  1.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -1.7000	  3.3000	 10.7500	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 36	  23	 55	 35.9965	  6.4148	  0.0000	    0.6096	 -0.4320	  0.0000	  2.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -1.7000	  2.8000	 10.1667	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 37	  23	 55	 36.9965	 10.2648	  0.0000	   -3.2404	 -0.9937	  0.5000	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -6.0583	  1.1000	  8.5833	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 38	  23	 55	 37.9965	 11.2096	  0.0000	   -4.1852	 -1.6320	  0.0000	  1.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -8.3000	  1.7000	 10.7500	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 39	  23	 55	 38.9965	  8.1444	  0.0000	   -1.1200	 -1.5296	  0.0000	  2.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -5.0000	  3.9000	 10.7500	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 40	  23	 55	 39.9965	  6.1890	  0.0000	    0.8354	 -1.0566	  0.4792	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -2.2000	  4.4000	 10.5000	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
2010	 41	  23	 55	 40.9965	  7.2497	  0.0000	   -0.2253	 -0.8903	 16.0100	  0.0000	   0.0000	   0.0000	   0.0000	-450.0000	-450.0000	-450.0000	 -0.6000	  0.0010	  9.2500	   4.0038	   1.0036	   1.6036	  0.3004	  0.1994	  0.1000	  0.1200	  0.1800	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	   0.0000	  0.1979	  0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	        0.0000	  0.4100	  0.3216	  8.5074
